Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC A WAREHOUSE,,,Food Items,,"Coffee,20g, 3in1 Kopiko Astig, 240pcs/box",,,,,pcs,,,,,,,,400080,9/7/2012,6/1/2013,,3.71,PHP,Tridharma Mktg,,,,
NROC A WAREHOUSE,,,Food Items,,"Corned Beef, 150g, Lucky 7 Brand, 48tins/box",,,,,tins,,,,,,,,14849,8/17/2012,8/1/2015,,15.71,PHP,Pacific Meat ,,,,
NROC A WAREHOUSE,,,Food Items,,"Corned Beef, 150g, Lucky 7 Brand, 48tins/box",,,,,tins,,,,,,,,150000,9/5/2012,8/1/2015,,15.71,PHP,Pacific Meat ,,,,
NROC A WAREHOUSE,,,Food Items,,"Noodles, 55g, Quickchow instant, chicken, 72pcs/box",,,,,pcs,,,,,,,,175032,9/7/2012,3/5/2013,,5.94,PHP,Zest-O Corp,,,,
NROC A WAREHOUSE,,,Food Items,,"Noodles, 55g, Quickchow instant, beef, 72pcs/box",,,,,pcs,,,,,,,,175032,9/7/2012,3/5/2013,,5.94,PHP,Zest-O Corp,,,,
NROC A WAREHOUSE,,,Food Items,,"Rice, NFA, 50kilos/sack",,,,,kgs,,,,,,,,31200,6/19/2012,,,27.5,PHP,NFA,,,,
NROC A WAREHOUSE,,,Food Items,,"Sardines, 155g, Master Brand, 100tins/box",,,,,tins,,,,,,,,25620,8/16/2012,3/1/2015,,12.65,PHP,Universal Canning,,,,
NROC A WAREHOUSE,,,Food Items,,"Sardines, 155g, Master Brand, 100tins/box",,,,,tins,,,,,,,,200000,9/6/2012,3/1/2015,,12.65,PHP,Universal Canning,,,,
NROC A WAREHOUSE,,,Food Items,,Food Packs,,,,,packs,,,,,,,,51967,,,,250,PHP,,,,,
NROC C WAREHOUSE,,,Textile/Curtain/etc,,"Bath Towel, asst color, 68.58x127cm",,,,,pcs,,,,,,,,1081,1/4/2011,,,52,PHP,Merla B. Andres,,,,for allocation
NROC C WAREHOUSE,,,Textile/Curtain/etc,,Bath Towel,,,,,pcs,,,,,,,,11000,8/18/2011,,,95,PHP,A. M. Ramos,,,,for allocation
NROC C WAREHOUSE,,,Textile/Curtain/etc,,"Blanket, family size, 70x90",,,,,pcs,,,,,,,,10965,8/8/2012,,,90,PHP,Merla B. Andres,,,,for allocation
NROC C WAREHOUSE,,,Textile/Curtain/etc,,"Blanket, family size, 70x90",,,,,pcs,,,,,,,,20000,8/24/2012,,,93,PHP,Merla B. Andres,,,,for allocation
NROC B WAREHOUSE,,,Houseware Supplies,,"Cups, plastic with handle regular size",,,,,pcs,,,,,,,,2852,9/12/2008,,,8.99,PHP,Emmaiah Mktg,,,,for allocation
NROC B WAREHOUSE,,,Houseware Supplies,,"Dust mask, FOAM",,,,,pcs,,,,,,,,14700,12/18/2009,,,6.5,PHP,Wyler Enter,,,,for allocation
