Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC A WAREHOUSE,,,Food Items,,"Coffee 3in1 Kopiko, Astig, 20gx240pcs",,,,,pcs,,,,,,,,400080,9/7/2012,6/1/2013,,3.71,PHP, Tridharma Mktg ,,,,
NROC A WAREHOUSE,,,Food Items,,"Corned Beef (48tins/box) 150g, Lucky 7 Brand",,,,,tin,,,,,,,,14849,8/17/2012,,,15.71,PHP, Pacific Meat  ,,,,
NROC A WAREHOUSE,,,Food Items,,"Corned Beef (48tins/box) 150g, Lucky 7 Brand",,,,,tin,,,,,,,,150000,9/5/2012,8/1/2015,,15.71,PHP, Pacific Meat  ,,,,
NROC A WAREHOUSE,,,Food Items,,Family Food Packs,,,,,pack,,,,,,,,84571,,8/1/2016,,250,PHP, DSWD ,,,,
NROC A WAREHOUSE,,,Food Items,,"Noodles, Quickchow, instant, 55g, chicken",,,,,pcs,,,,,,,,175032,9/7/2012,3/5/2013,,5.94,PHP,Zest-O Corp,,,,
NROC A WAREHOUSE,,,Food Items,,"Noodles, Quickchow, instant, 55g, beef",,,,,pcs,,,,,,,,175032,9/7/2012,3/5/2013,,5.94,PHP,Zest-O Corp,,,,
NROC A WAREHOUSE,,,Food Items,,"Rice, NFA, 50kilos/sack",,,,,kgs,,,,,,,,31200,6/19/2012,,,27.5,PHP, NFA ,,,,
NROC A WAREHOUSE,,,Food Items,,"Sardines (100tins/box) 155g, Master Brand",,,,,tin,,,,,,,,25620,8/16/2012,,,12.65,PHP, Universal Canning ,,,,
NROC A WAREHOUSE,,,Food Items,,"Sardines (100tins/box) 155g, Master Brand",,,,,tin,,,,,,,,200000,9/6/2012,3/1/2015,,12.65,PHP, Universal Canning ,,,,
NROC C WAREHOUSE,,,Textile/Curtain/etc,,"Bath Towel, asst color, 68.58x127cm",,,,,pcs,,,,,,,,1081,1/4/2011,,,52,PHP,Merla B. Andres,,,,
NROC C WAREHOUSE,,,Textile/Curtain/etc,,Bath Towel,,,,,pcs,,,,,,,,11000,8/18/2011,,,95,PHP,A. M. Ramos,,,,
NROC C WAREHOUSE,,,Textile/Curtain/etc,,"Blanket, family size, 70x90",,,,,pcs,,,,,,,,10965,8/8/2012,,,90,PHP,Merla B. Andres,,,,
NROC C WAREHOUSE,,,Textile/Curtain/etc,,"Blanket, family size, 70x90",,,,,pcs,,,,,,,,20000,8/24/2012,,,93,PHP,Merla B. Andres,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,"Cups, plastic with handle regular size",,,,,pcs,,,,,,,,2852,9/12/2008,,,8.99,PHP,Emmaiah Mktg,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,"Dust mask, FOAM",,,,,pcs,,,,,,,,14700,12/18/2009,,,6.5,PHP,Wyler Enter,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,"Glass, plastic, drinking, 340ml capacity",,,,,pcs,,,,,,,,826,8/17/2011,,,6.9,PHP,Merla B. Andres,,,,
NROC C WAREHOUSE,,,Houseware Supplies,,"Jug, water, plastic with handle & faucet (5 gallons capacity) blue",,,,,pcs,,,,,,,,11485,8/6/2011,,,132,PHP,Lokal Industries,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,"Kaldero, big,  for community kitchen",,,,,pcs,,,,,,,,48,9/8/2008,,,"2,500.00",PHP,Lokal Industries,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,"Kaldero (iron kettle), family size",,,,,pcs,,,,,,,,13,8/22/2011,,,229,PHP,A. M. Ramos,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,"Kawa, big, for community kitchen",,,,,pcs,,,,,,,,78,9/12/2008,,,"1,286.00",PHP,Emmaiah Mktg,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,"Laddle, aluminum, jumbo",,,,,pcs,,,,,,,,57,9/8/2008,,,45,PHP,Merla B. Andres,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,"Laddle, aluminum, regular size",,,,,pcs,,,,,,,,520,8/17/2011,,,19.68,PHP,Merla B. Andres,,,,
NROC C WAREHOUSE,,,Houseware Supplies,,"Laminated sacks, 8ftx100m",,,,,roll,,,,,,,,1399,8/6/2011,,,"2,658.88",PHP,Lokal Industries,,,,
