Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC Warehouse C,Warehouse C,,Textile/Curtain/etc,,Bath Towel,,,,,pcs,,,,,,,,11000,,,,95,PHP,A. M. Ramos,,,,
NROC Warehouse C,Warehouse C,,Textile/Curtain/etc,,"Bath Towel, asst color, 68.58x127cm",,,,,pcs,,,,,,,,3581,,,,52,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Textile/Curtain/etc,,"Blanket, family size, 70x90 (Jakarta/Iloco)",,,,,pcs,,,,,,,,3000,,,,99,PHP,A. M. Ramos,,,,
NROC Warehouse C,Warehouse C,,Textile/Curtain/etc,,"Blanket, family size, 80x90 (Rose Brand)",,,,,pcs,,,,,,,,2325,,,,99,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Blanket, used",,,,,pcs,,,,,,,,160,,,,30,PHP,Filipino Expatriate Wire (Singapore),,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Blanket, used heavy",,,,,pcs,,,,,,,,70,,,,50,PHP,Filipino Expatriate Wire (Singapore),,,,
NROC Warehouse C,Warehouse C,,Clothings,,"Briefs, for men (XL: 16packs x5= 80pcs, L: 10packs x5= 50pcs M: 12packs x5+3pcs= 63pcs, S: 16packs x5= 80pcs)",,,,,box,,,,,,,,1,,,,8190,PHP,Winace Holding Company,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Chain, steel, asstd sizes",,,,,bags,,,,,,,,549,,,,0,PHP,China,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"CHEMICAL PROTECTIVE BOOTS, Black (6pairs/case)",,,,,cs,,,,,,,,19,,,,6000,PHP,Second Harvest Japan,,,,
NROC Warehouse E,Warehouse E,,Repacked,,Clothing packs,,,,,pck,,,,,,,,27177,,,,100,PHP,Various donors,,,,
NROC Warehouse C,Warehouse C,,Clothings,,"Clothing, used, assorted, blouse, t shirt, sweatshirt, children t shirt, etc.)",,,,,kgs,,,,,,,,1487,,,,50,PHP,"Sunlove, Singapore c/o BOC (2011-09-008)",,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Coffee 3 in 1, Kopiko, 20g",,,,,pcs,,,,,,,,284560,,,,3.69,PHP,Tridharma Marketing,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Coffee 3 in 1, San Mig",,,,,pcs,,,,,,,,4580,,,,3.645,PHP,Puregold Price Club,,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Comforter, used (15kilos)",,,,,pcs,,,,,,,,10,,,,40,PHP,Filipino Expatriate Wire (Singapore),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Cord Reel,,,,,Unit,,,,,,,,2,,,,14770,PHP,JICA (RN 08-06-007),,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Corned Beef (48tins/box) 150g, Bingo1",,,,,tins,,,,,,,,199060,,,,15.59395833,PHP,Foodsphere Inc.,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Corned Beef (48tins/box) 150g, Bingo2",,,,,tins,,,,,,,,400032,,,,15.59395833,PHP,Foodsphere Inc.,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, 2XLarge, White, Inset Sleeve, Zipper Closure, Tappered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,30,,,,8914.5,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, 3XLarge, White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,28,,,,9562.16,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, 5XLarge, White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,117,,,,11059.01,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, 8 Xlarge White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,22,,,,8467.99,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, Large, White, Inset Sleeve, Zipper Closure, Attached Aqua Track Boots, Elastic Hood, Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,6,,,,7211.37,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, Large, White, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,6,,,,7211.37,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, Medium, White, Inset Sleeve, Zipper Closure, Attached Aqua Track Boots, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,5,,,,7211.37,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"COVERALL, Small, Blue, Inset Sleeve, Zipper Closure, Tapered Collar, Elastic Wrist, Ankle & Back (25pcs/case)",,,,,cs,,,,,,,,20,,,,7211.37,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"C-Perlin (19ft & 2.25"" x 4"" x 2"")",,,,,pcs,,,,,,,,1435,,,,770.54,PHP,China (RN 07-11-013,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"Crutch, forearm, aluminum, used (4ft)",,,,,pair,,,,,,,,1,,,,300,PHP,"Dubai, UAE (RN 2010-08-006)",,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Cups, plastic with handle regular size",,,,,pcs,,,,,,,,2852,,,,8.99,PHP,Emmaiah Mktg,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles  25x33cm 10pcs/box - Ceramics,,,,,bx,,,,,,,,50,,,,275,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 10x30cm 20pcs/box - Ceramics,,,,,bx,,,,,,,,25,,,,200,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 10x33cm 22pcs/box - Ceramics,,,,,bx,,,,,,,,280,,,,275,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 5x20cm - Ceramics,,,,,pcs,,,,,,,,9440,,,,8.5,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 5x20cm 60pcs/box - Ceramics,,,,,bx,,,,,,,,70,,,,510,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Decorative Boarder Tiles 5x30cm 40pcs/box - Ceramics,,,,,bx,,,,,,,,33,,,,200,PHP,BOC (RN 08-10-013),,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Del Monte Fresh Cut Whole KernelCorn, 420g",,,,,cans,,,,,,,,9,,,,0,PHP,ACS of the Philippines,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Del Monte Sweetened Pineapple, 1.36L",,,,,cans,,,,,,,,10,,,,0,PHP,ACS of the Philippines,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Del Monte Tidbits Pineapple, 227g",,,,,cans,,,,,,,,6,,,,0,PHP,ACS of the Philippines,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Dust mask, FOAM",,,,,pcs,,,,,,,,14900,,,,6.5,PHP,Wyler Enter,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"EASY DONNING TYVEK SLEEVE, Clean Room Whites, (50pairs/case)",,,,,cs,,,,,,,,34,,,,10288.02,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Electrical outlet,,,,,pcs,,,,,,,,300,,,,58.83,PHP,China (RN 07-11-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Electrical wire 10mm,,,,,roll,,,,,,,,199,,,,830.8,PHP,China (RN 07-11-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Electrical wire 16mm,,,,,roll,,,,,,,,202,,,,2492.42,PHP,China (RN 07-11-013),,,,
NROC Warehouse E,Warehouse E,,Repacked,,"Family Food Packs (3kilos Rice, 5tins Sardines, 5tins Corned Beef)",,,,,pck,,,,,,,,1,,,,251.99,PHP,"NFA, Maple, Columbus, Pacific",,,,
NROC Warehouse E,Warehouse E,,Repacked,,"Family Food Packs (3kilos Rice, 5tins Sardines,3tins Corned Beef, 6pcs Coffee)",,,,,pck,,,,,,,,253,,,,249.4,PHP,"NFA, Universal, 4H, Puregold",,,,
NROC Warehouse E,Warehouse E,,Repacked,,"Family Food Packs (3kilos Rice, 5tins Sardines,5tins Corned Beef, 6pcs Coffee)",,,,,pck,,,,,,,,4,,,,249.1,PHP,"NFA, Universal, Foodsphere, Puregold",,,,
NROC Warehouse E,Warehouse E,,Repacked,,"Family Food Packs (3kilos Rice, 5tins Sardines,5tins Corned Beef, 8pcs Coffee)",,,,,pck,,,,,,,,2752,,,,252.15,PHP,"NFA, Universal, Foodsphere, Puregold",,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Flourescent modulator tube,,,,,pcs,,,,,,,,369,,,,79.87,PHP,China (RN 07-11-013),,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Fortified Soy Protein Meal Packages, 254g",,,,,pck,,,,,,,,731,,,,50,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"FROCKS, Medium, Blue Raglan Sleeve, Elastic Wrist, Snap Collar, Snap Close (30pcs/case)",,,,,cs,,,,,,,,68,,,,13382.72,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"FROCKS, Medium, white Raglan Sleeve, Elastic Wrist, Snap Collar, Snap Close (25pcs/case)",,,,,cs,,,,,,,,10,,,,13382.72,PHP,Second Harvest Japan,,,,
